,return,market cap
A006840,0.07591240875912415,992242.0
A006880,0.13391304347826108,77242.0
A006890,0.05585980284775446,55970.0
A006910,,
A006920,,
A006980,0.13073005093378623,105060.0
A007050,,
A007070,-0.1426799007444162,2721950.0
A007090,,
A007091,,
A007100,,
A007110,1.0566801619433204,217653.0
A007120,0.25693160813308696,69093.0
A007150,,
A007160,0.0248901903367498,347500.0
A007190,,
A007195,,
A007197,,
A007200,,
A007210,0.0500000000000002,303035.0
A007280,1.268867924528302,77850.0
A007310,-0.04218362282878344,2703840.0
A007330,,
A007340,0.015649452269170087,329302.0
A007360,,
A007365,,
A007367,,
A007369,,
A00736A,,
A00736B,,
A00736C,,
A00736D,,
A00736E,,
A007370,,
A007390,,
A007410,,
A007420,,
A007460,-0.03076923076923059,647072.0
A007480,,
A007490,,
A007530,,
A007540,0.019867549668873833,89294.0
A007570,0.06874189364461733,778981.0
A007575,-0.011718749999999976,10882.0
A007590,0.10857142857142893,105536.0
A007595,,
A007610,1.0947867298578222,126540.0
A007630,0.5652173913043461,456301.0
A007640,,
A007641,,
A007660,0.007100591715977271,170645.0
A007680,,
A007690,0.052297939778130055,385825.0
A007700,0.06793802145411172,712250.0
A007720,,
A007721,,
A007770,,
A007800,,
A007810,-0.34772727272727316,205501.0
A007815,-0.17465069860279456,12140.0
A00781K,-0.13003663003663024,3707.0
A007820,,
A007830,,
A007840,,
A007860,-0.157608695652174,148393.0
A007910,,
A007930,,
A007980,-0.055555555555555254,170449.0
A008000,0.012690355329949797,
A008020,,
A008030,,
A008040,0.11347517730496452,227243.0
A008060,-0.14401622718052742,408913.0
A008110,0.04244694132334625,44217.0
A008120,,
A008250,0.02205882352941111,93173.0
A008260,0.17576791808873782,99636.0
A008270,,
A008290,,
A008320,,
A008340,,
A008350,0.16666666666666746,126155.0
A008355,0.0011148272017837617,2725.0
A008370,,
A008400,,
A008405,,
A008420,0.1746031746031747,68277.0
A008440,,
A008470,,
A008480,,
A008485,,
A008490,0.04128440366972444,400291.0
A008500,-0.20080321285140515,24000.0
A008530,,
A008540,,
A008560,-0.11038251366120201,2504326.0
A008600,0.17283950617283922,106590.0
A008640,,
A008670,,
A008675,,
A008690,,
A008700,0.5045454545454544,254898.0
A008705,,
A008720,,
A008730,-0.2146226415094336,420360.0
A008750,,
A008770,0.24852767962308597,4219173.0
A008775,0.04255319148936142,40601.0
A008780,,
A008800,,
A008830,,
A008870,0.04378531073446329,73900.0
A008900,,
A008920,,
A008930,-0.29369369369369347,5035492.0
A008970,1.285368802902055,177771.0
A008975,,
A008980,,
A008985,,
A008990,,
A009010,,
A009050,,
A009070,0.18164062500000033,97050.0
A009080,,
A009085,,
A009140,0.3705583756345182,42883.0
A009150,0.1750000000000002,8739162.0
A009155,0.04525862068965522,139535.0
A009160,0.03995157384987901,124483.0
A009180,0.20731707317073192,41853.0
A009190,0.22499999999999934,48656.0
A009200,0.3578732106339473,138975.0
A009220,,
A009240,-0.3194444444444449,2859372.0
A009270,0.4198113207547149,237490.0
A009275,0.07894736842105302,5698.0
A009280,,
A009290,0.07885714285714299,500095.0
A009300,,
A009310,-0.1704119850187272,111661.0
A009320,0.2580037664783425,161998.0
A009330,,
A009335,,
A009337,,
A009360,,
A009380,,
A009385,,
A009410,0.11165048543689267,870960.0
A009415,0.1324110671936765,15217.0
A009420,0.22745901639344235,1593339.0
A009440,0.07115384615384653,127206.0
A009450,0.16764132553606284,751631.0
A009460,0.059405940594059355,63844.0
A009470,-0.06284153005464474,117065.0
A009520,,
A009540,0.17251010964272293,8126938.0
A009580,0.5259095920617418,437202.0
A009620,,
A009680,0.1304347826086958,348150.0
A009690,,
A009720,,
A009730,,
A009760,,
A009770,-0.09265944645005962,92749.0
A009780,,
A009790,,
A009795,,
A009810,0.46271510516252334,51475.0
A009815,,
A009830,-0.10126582278480956,4762990.0
A009835,-0.11246200607902726,16407.0
A009837,,
A009840,,
A009890,,
A009895,,
A009897,,
A009940,,
A009970,-0.01441441441441408,747230.0
A010040,0.04145936981757978,75564.0
A010050,0.18700787401574775,404522.0
A010060,0.16176470588235284,3982845.0
A010090,,
A010095,,
A010100,0.1262626262626255,67904.0
A010110,,
A010120,0.030721966205836778,2016000.0
A010130,-0.13387423935091258,8340540.0
A010140,0.147008811253671,2948400.0
A010145,0.22081114297419027,5317.0
A010150,,
A010170,,
A010200,,
A010240,,
A010280,,
A010330,,
A010420,0.031249999999999736,30637.0
A010460,,
A010470,,
A010510,,
A010520,,
A010580,0.21124620060790317,40417.0
A010600,-0.1312849162011172,48647.0
A010620,0.055908513341804425,1714000.0
A010640,0.10975609756097508,18300.0
A010660,-0.027649769585253173,46530.0
A010670,,
A010690,-0.10360884749709023,135840.0
A010730,,
A010770,0.8107714701601159,90678.0
A010780,-0.1364942528735633,958745.0
A010810,,
A010820,0.6454545454545453,195477.0
A010950,-0.05982905982905959,12947021.0
A010955,-0.04949494949494973,386105.0
A010960,0.44857768052516367,164250.0
A011000,0.25042301184433113,154782.0
A011020,,
A011040,,
A011050,,
A011070,-0.18402777777777785,2958388.0
A011080,,
A011090,0.07486631016042823,122683.0
A011150,-0.019130434782608792,101864.0
A011155,0.055449330783938586,5450.0
A011160,0.1525423728813557,209178.0
A011170,0.09510869565217431,13932958.0
A011200,-0.02390438247011986,1571501.0
A011210,-0.18461538461538496,1430461.0
A011230,0.009765625000000017,54172.0
A011260,,
A011280,0.21931589537223353,215958.0
A011290,,
A011300,0.3860759493670879,50831.0
A011320,,
A011321,,
A011330,0.3536121673003811,90745.0
A011370,,
A011390,0.46621621621621506,45936.0
A011400,,
A011420,-0.31175468483816005,55099.0
A011450,,
A011500,0.3820359281437118,94135.0
A011510,,
A011560,,
A011650,,
A011690,1.4403470715835138,554574.0
A011700,-0.10967741935483931,113562.0
A011720,,
A011760,0.02307692307692273,267887.0
A011780,-0.07638190954773891,2891384.0
A011785,-0.0987482614742697,98566.0
A011790,-0.20106382978723344,1450711.0
A011800,,
A011810,0.0,426019.0
A011815,,
A011840,,
A011870,,
A011890,,
A011930,-0.1644908616187992,283710.0
A012010,,
A012030,0.1945288753799393,159050.0
A012090,,
A012095,,
A012160,0.36693548387096836,131744.0
A012170,-0.16759002770083106,102899.0
A012200,0.03769401330376909,158110.0
A012205,-0.06130790190735602,4900.0
A012250,,
A012260,,
A012265,,
A012270,,
A012280,0.2924187725631762,82721.0
A012320,0.0175438596491216,103706.0
A012330,-0.07224334600760508,23849246.0
A012335,,
A012337,,
A012340,,
A012350,,
A012400,,
A012405,,
A012410,,
A012420,,
A012450,-0.29535864978902965,1336040.0
A012460,,
A012510,0.5585585585585586,1599359.0
A012580,,
A012600,-0.06869009584664582,25422.0
A012610,-0.0017241379310343635,235915.0
A012620,,
A012630,0.19974059662775587,3531749.0
A012650,,
A012655,,
A012670,,
A012690,0.00404040404040423,183588.0
A012700,,
A012710,,
A012720,,
A012750,-0.0785046728971956,3769518.0
A012760,,
A012790,,
A012800,0.08530805687203734,105723.0
A012805,,
A012860,,
A012990,,
A013000,0.09444444444444454,47855.0
A013005,,
A013030,,
A013090,,
A013095,,
A013097,,
A013120,,
A013200,,
A013240,,
A013250,,
A013255,,
A013310,,
A013320,,
A013340,,
A013360,1.640776699029126,145258.0
A013365,,
A013367,-0.40770101925254815,1625.0
A013450,,
A013520,-0.12022900763358692,154947.0
A013570,-0.04199066874027993,163708.0
A013580,0.09537572254335216,170580.0
A013630,,
A013635,,
A013650,,
A013700,0.47029702970296994,67277.0
A013720,,
A013780,,
A013810,,
A013850,,
A013870,0.006002400960383994,161924.0
A013890,,
A013900,,
A013990,,
A014010,,
A014015,,
A014040,,
A014045,,
A014047,,
A014080,,
A014090,,
A014100,,
A014130,0.48648648648648674,79200.0
A014160,0.14201183431952594,100510.0
A014190,,
A014200,,
A014280,0.1498257839721251,161704.0
A014285,0.02303523035230279,4341.0
A014300,,
A014350,,
A014420,,
A014440,-0.02361396303901438,95200.0
A014470,,
A014530,0.027941176470587466,122740.0
A014570,,
A014580,0.05595667870036179,81094.0
A014590,,
A014620,,
A014680,-0.023448275862068477,809865.0
A014710,0.10841423948220023,117603.0
A014740,,
A014745,,
A014790,0.6662576687116557,243786.0
A014820,-0.04148936170212717,1160519.0
A014825,-0.1489757914338917,6090.0
A014827,,
A014830,0.17078410311493059,484496.0
A014900,,
A014910,0.20316027088035996,51932.0
A014915,-0.021383647798742595,4548.0
A014940,,
A014970,,
A014990,1.631578947368421,170611.0
A015020,-0.03883495145631028,34238.0
A015050,,
A015060,,
A015110,,
A015150,,
A015170,,
A015200,,
A015230,-0.13095238095238054,103000.0
A015260,0.09575923392612859,66890.0
A015265,,
A015350,0.01109570041608843,398200.0
A015360,0.08047493403693895,247800.0
A015370,,
A015390,,
A015540,0.24345146379044588,43088.0
A015545,,
A015580,,
A015585,,
A015590,0.9694533762057863,154668.0
A015620,,
A015650,,
A015670,,
A015675,,
A015710,,
A015750,,
A015760,-0.04980340760157303,23720573.0
A015860,2.567390744445675e-16,268450.0
A015880,,
A015890,0.07115384615384625,165435.0
A015940,,
A016040,,
A016090,-0.02209944751381158,119319.0
A016100,,
A016140,,
A016160,,
A016167,,
A016170,,
A016250,,
A016360,-0.015027322404371626,3259450.0
A016365,,
A016367,,
A016380,0.5094339622641502,303653.0
A016385,0.7261306532663309,5413.0
A016390,,
A016395,,
A016397,,
A016420,,
A016450,-0.11720930232558147,390400.0
A016510,,
A016550,,
A016555,,
A016560,,
A016570,,
A016575,,
A016580,0.0022471910112359167,421292.0
A016590,1.3529411764705896,326412.0
A016600,,
A016610,0.14731585518102278,187189.0
A016670,,
A016710,0.006297229219143074,128555.0
A016740,0.05298013245033164,118534.0
A016800,-0.03787878787878849,362250.0
A016830,,
A01683C,,
A016880,1.051339285714287,341219.0
A016890,,
A016920,,
A016970,,
A016975,,
A016990,,
A017000,,
A017010,,
A017040,0.592664092664092,185052.0
A017050,,
A017090,,
A017120,,
A017160,,
A017170,,
A017180,0.46883005977796866,208590.0
A017210,,
A017211,,
A017250,,
A017300,,
A017320,,
A017325,,
A017370,-0.1034897713598076,136623.0
A017390,-0.07211028632025439,428000.0
A017480,,
A017510,,
A017550,0.41489361702127636,108240.0
A017555,,
A017620,,
A017650,,
A017670,-0.15168539325842664,18046666.0
A017680,,
A017740,,
A017800,0.7334558823529405,2575093.0
A017810,-0.1366279069767438,550414.0
A017890,,
A017900,0.043243243243242885,167747.0
A017940,0.09490333919156511,424634.0
A017960,0.13805970149253705,257610.0
A018000,,
A018020,,
A018120,,
A018180,,
A018250,0.30441176470588194,1194245.0
A018260,0.21499999999999958,18880183.0
A018290,,
A018310,,
A018360,,
A018365,,
A018410,,
A018415,,
A018417,,
A018470,0.05777777777777756,82824.0
A018500,-0.547060713138452,66626.0
A018550,,
A018570,,
A018590,,
A018620,,
A018670,-0.013800424628449255,836658.0
A018680,,
A018700,,
A018720,,
A018880,-0.20503597122302183,6218770.0
A018890,,
A019010,,
A019120,,
A019170,0.3068920676202864,535148.0
A019175,0.17784877529286472,12254.0
A019180,0.502923976608188,45630.0
A019210,,
A019260,,
A019300,,
A019430,,
A019440,-0.06965174129353295,160688.0
A019490,0.1191335740072202,25994.0
A019540,,
A019550,,
A019560,,
A019570,,
A019590,,
A019640,,
A019660,,
A019680,-0.04268292682926896,662376.0
A019685,-0.0019960079840311154,97038.0
A019770,,
A019930,,
A019990,,
A020000,0.11446740858505589,863282.0
A020070,,
A020075,,
A020120,0.5150375939849615,65863.0
A020150,-0.11749347258485622,1591600.0
A020180,,
A020400,,
A020490,,
A020560,0.12017640573318662,1063119.0
A020710,,
A020760,-0.2779220779220776,159693.0
A020860,,
A020865,,
A020920,,
A021040,,
A021045,,
